VarName1,VarName2
02:10:00,0
02:15:00,0
02:30:00,0
03:00:00,0
03:45:00,0
03:50:00,0
04:00:00,35
04:10:00,92.1638712074788
04:20:00,131.322703111548
04:30:00,155.075316481329
04:40:00,166.020532085943
04:45:00,166.757170694512
04:50:00,159.884053076157
05:00:00,148
05:03:00,133.703832235161
05:10:00,119.594370550763
05:14:00,108.270435715926
05:15:00,102.330848499773
05:20:00,104.374429671423
05:30:00,117
05:35:00,141.335848927296
05:40:00,172.628140585791
05:45:00,204.652507780639
05:50:00,231.184583316991
06:00:00,246
06:08:00,244.711724091028
06:10:00,230.282055676272
06:14:00,207.51062829814
06:15:00,181.19707549904
06:16:00,156.141030821378
06:20:00,137.142127807563
06:30:00,129
06:35:00,134.991507835261
06:40:00,152.302419326569
06:45:00,176.595729381311
06:46:00,203.534432906872
06:50:00,228.78152481064
07:00:00,248
07:05:00,257.837383670113
07:10:00,258.879322167234
07:12:00,252.695992125393
07:15:00,240.857570178618
07:20:00,224.934232960939
07:30:00,206.496157106385
07:40:00,187.113519248985
07:45:00,168.356496022768
07:50:00,151.795264061763
08:00:00,139
08:10:00,131.073952730047
08:15:00,127.252660178629
08:20:00,126.304732531013
08:26:00,126.998779972464
08:30:00,128.103412688246
08:40:00,128.387240863626
08:45:00,126.618874683868
08:50:00,121.566924334237
09:00:00,112
09:10:00,97.3959748660691
09:15:00,80.0697741159501
09:20:00,63.0455859327965
09:25:00,49.347598499762
09:30:00,42
09:35:00,43.1360631933789
09:40:00,51.3253991466261
09:45:00,64.2467035031839
09:50:00,79.5786719064945
10:00:00,95
10:10:00,108.539454867378
10:15:00,119.626089353249
10:16:00,128.039027742468
10:20:00,133.557394319891
10:30:00,135.960313370373
10:40:00,135.026909178769
10:45:00,130.536306029935
10:50:00,122.267628208727
11:00:00,110
11:05:00,94.0262159082313
11:10:00,76.6937513163866
11:15:00,60.8637518270535
11:20:00,49.3973630428196
11:25:00,45.1557305662726
11:30:00,51
11:35:00,68.5301171712828
11:40:00,94.301228806176
11:45:00,123.607281855428
11:50:00,151.742223269786
12:00:00,174
12:10:00,186.827715613197
12:14:00,191.285100142027
12:15:00,189.585040235519
12:20:00,183.940422542702
12:30:00,176.564133712605
12:40:00,169.669060394257
12:45:00,165.468089236687
12:50:00,166.174106888925
13:00:00,174
13:10:00,190.300008126023
13:15:00,212.993782451433
13:20:00,239.142327067753
13:25:00,265.806646066505
13:30:00,290.04774353921
13:40:00,308.92662357739
13:45:00,319.504290272567
13:50:00,318.841747716263
14:00:00,304
14:01:00,273.488405835722
14:05:00,231.609742417062
14:10:00,184.115141558077
14:15:00,136.755735072822
14:20:00,95.2826547753541
14:25:00,65.447032479728
14:30:00,53
14:31:00,61.5794344567342
14:35:00,86.3701941965265
14:40:00,120.443882872481
14:45:00,156.872104137701
14:50:00,188.726461645292
14:55:00,209.078559048357
15:00:00,211
15:05:00,190.374912853308
15:10:00,154.337524761295
15:15:00,112.83458757696
15:16:00,75.812853153301
15:20:00,53.219073343315
15:30:00,55
15:35:00,87.6111738296617
15:39:00,143.543290951837
15:40:00,211.795836339372
15:45:00,281.36829496511
15:48:00,341.260151801897
15:50:00,380.470891822579
16:00:00,388
16:03:00,357.16890065584
16:05:00,298.586775507119
16:10:00,227.184745619691
16:15:00,157.893932059411
16:20:00,105.645455892132
16:25:00,85.3704381837106
16:30:00,112
16:35:00,194.183242404056
16:40:00,315.44118644774
16:41:00,453.012833180114
16:45:00,584.13718365024
16:50:00,686.053238907182
17:00:00,736
17:03:00,718.515117601153
17:05:00,647.330840876677
17:10:00,543.478068616005
17:15:00,427.987699608569
17:20:00,321.890632643802
17:25:00,246.217766511135
17:30:00,222
17:35:00,261.893678944651
17:40:00,345.056937358621
17:45:00,442.273356300266
17:50:00,524.326516827941
18:00:00,562
18:05:00,534.697996995946
18:10:00,456.307139479866
18:11:00,349.334669236997
18:15:00,236.287828052573
18:20:00,139.673857711829
18:30:00,82
18:35:00,78.6096097954595
18:40:00,116.190494349129
18:45:00,174.26657400507
18:50:00,232.36176910734
19:00:00,270
19:01:00,271.934017229788
19:05:00,243.831892154155
19:06:00,196.590526333231
19:15:00,141.106821327144
19:20:00,88.2776786960238
19:30:00,49
19:35:00,31.5035236203056
19:40:00,33.349335222589
19:45:00,49.4313572936024
19:47:00,74.643512320098
19:50:00,103.879722788828
19:55:00,132.033911186545
20:00:00,154
20:05:00,165.851154247422
20:10:00,168.377509072941
20:15:00,163.548442152162
20:20:00,153.333331160691
20:30:00,139.701553774134
20:45:00,124.622487668096
20:50:00,110.065510518183
21:00:00,98
21:05:00,89.9275720007365
21:10:00,85.4787952539128
21:20:00,83.8164767046322
21:30:00,84.1034232979983
21:40:00,85.5024419791146
21:45:00,87.1763396930847
21:50:00,88.287923385012
22:00:00,88
22:01:00,85.4753764831523
22:10:00,79.8768597795723
22:15:00,70.3672568343635
22:20:00,56.1093745926296
22:30:00,36.2660199994739
23:00:00,10
23:30:00,0
